Nº;COROS;DURACIÓN
1;POBRE PEREGRINO;1:40
2;ALABAD, BENDECID A JEHOVÁ;1:50
3;ALABA ALMA MÍA A JEHOVÁ;1:38
4;ALGUIEN ESTÁ AQUÍ;1:41
5;ASÍ DICE JESÚS;1:21
6;DESPIÉRTATE, SION;1:29
7;ESTE ES EL CRISTO;1:48
8;EN LA IGLESIA DE DIOS SE SIENTE GOZO;1:36
9;YA QUE HAS PUESTO TU MANO EN EL ARADO;2:14
10;YO TENGO UN BARCO;2:48
11;YO QUIERO MÁS DE CRISTO;1:24
12;EL GOZO DEL SEÑOR;1:23
13;ALABARÉ A MI SEÑOR;1:49
14;VEREMOS EN LAS NUBES AL SEÑOR;2:07
15;CUÁN GLORIOSA SERÁ LA MAÑANA;2:23
16;JESÚS ESTÁ AQUÍ;1:37
17;CUANDO SUENE LA FINAL TROMPETA;2:07
18;DIOS ESTÁ AQUÍ;2:21
19;DESCIENDE AQUÍ;3:25
20;HAY VIDA EN JESÚS.;2:42
21;HAY UN MOTIVO;2:50
22;MI CORAZÓN CONTENTO ESTÁ;3:25
23;UN RAYO DE LUZ;2:07
24;VARONES GALILEOS;2:05
25;YO VIVO, SEÑOR, POR QUE TÚ VIVES;2:08
26;YO SOY TESTIGO;2:23
27;YO TENGO UN CRISTO VIVO;2:21
28;YO ASCENDERÉ;1:23
29;YO SÉ QUE AQUÍ ESTÁ;1:28
31;¡BENDITO JEHOVÁ LA ROCA!;1:47
32;¡BENDITO JEHOVÁ DIOS DE ISRAEL!;1:38
33;LÍBRATE DE LA IRA QUE VENDRÁ;1:55
34;QUEMA CON FUEGO DE GLORIA;1:27
35;¡QUÉ PRECIOSO ES!;1:32
36;SUBIENDO VOY;1:07
37;TESTIFIQUEMOS;1:44
38;TENME BRILLANDO, SEÑOR;1:42
39;PRONTO VENDRÁ EL SEÑOR;1:51
40;SOY FELIZ EN LA IGLESIA DE DIOS;1:50
41;YA MI VIDA SE LA DEBO AL SEÑOR;2:51
42;VAMOS CANTANDO;4:07
43;YO TENGO UN AMIGO QUE ME AMA;2:30
44;LA GLORIA BAJÓ;2:24
45;LAS CALLES DE ORO;1:43
46;LA MADRUGADA;1:45
47;LAS AGUAS DEL RÍO DEL JORDÁN;1:58
48;LA GLORIA DE JEHOVÁ;1:45
49;LAS PROMESAS DEL SEÑOR;1:10
50;LOS SALVADOS CANTAN;1:34
51;LEVÁNTATE, PUEBLO;1:26
52;LA IGLESIA ES TUYA;1:50
53;DAME UN NUEVO CORAZÓN;2:21
54;EN EL AÑO DEL JUBILEO;1:09
55;ESTA ES LA IGLESIA DEL SEÑOR;1:26
56;HÁBLAME, SEÑOR;1:39
58;DEMOS GRACIAS AL SEÑOR;1:43
59;LOS QUE SIGUEN AL CORDERO;1:36
60;LA GLORIA ES PARA ÉL;2:01
61;ENGRANDECE MI ALMA AL SEÑOR;1:31
62;HAY UNA TIERRA NUEVA;2:34
63;ESTOY ALEGRE;2:17
64;HAY PERDÓN;1:02
65;UNOS BRAZOS HUMILDES;2:17
66;AMO AL SEÑOR;1:35
67;MARAVILLOSO ES ÉL;2:03
68;ESTAMOS DE FIESTA CON JESÚS;2:30
69;EL ESPÍRITU DE DIOS SE MUEVE EN MÍ;1:24
70;SANTO, SANTO, SANTO DICEN LOS QUERUBINES;2:52
71;ESTE AVIVAMIENTO;1:26
72;EL ESPÍRITU DE DIOS SE MUEVE;1:42
73;YO SIENTO PAZ Y GOZO EN MI CORAZÓN;1:41
74;NO PUEDE ESTAR TRISTE;1:41
75;ORANDO A MI SEÑOR;1:21
76;¡QUÉ GLORIOSO ES ANDAR CON ÉL!;1:31
