Nº;HIMNOS;DURACIÓN
1;LA DOXOLOGIA, A DIOS EL PADRE;2:37
2;EL APOSENTO ALTO;3:04
3;LLUVIAS DE GRACIA;3:03
4;JESÚS VENDRÁ OTRA VEZ;3:22
5;DULCE COMUNIÓN;2:47
6;DESDE QUE SALVO ESTOY;3:13
7;LIBERTAD;3:13
8;TODO A CRISTO YO ME RINDO;3:38
9;LA SIEMBRA;2:51
10;GLORIA SIN FIN;2:38
11;CRISTO QUIERE LÍMPIOS CORAZONES;2:59
12;CARIÑOSO SALVADOR;3:43
13;ROCA DE LA ETERNIDAD;1:39
14;FIRMES Y ADELANTE;4:07
15;GRATO ES DECIR LA HISTORIA;3:10
16;¿OYES COMO EL EVANGELIO?;2:40
17;CUANDO ALLÁ SE PASE LISTA;2:33
18;ANDANDO EN LA LUZ;2:30
19;¡OH, CUAN DULCE!;2:57
20;ALLÍ NO HABRÁ TRIBULACIÓN;2:40
21;¡PAZ! ¡PAZ! ¡CUAN DULCE PAZ!;4:05
22;MÁS DE JESÚS;3:22
23;ACEPTA EL PERDON DE JESÚS;3:10
24;HAY PODER EN JESÚS;2:27
25;CRISTO ES MI DULCE SALVADOR;3:05
26;LOORES A DIOS;3:14
27;GRANDE GOZO HAY EN MI ALMA HOY;3:00
28;TENDRAS QUE RENACER;3:24
29;CANTARE LA MARAVILLA;2:26
30;ENTERA CONSAGRACION;3:46
31;SANTA BIBLIA;2:34
32;EN LOS NEGOCIOS DEL REY;2:47
33;A JESUCRISTO VEN SIN TARDAR;2:15
34;YA TODO DEJE;3:36
35;ERES LIMPIO EN LA SANGRE;3:03
36;MAS BLANCO QUE LA NIEVE;2:42
37;DONDE QUIERA CON JESUS;4:07
38;EN LA VIÑA DEL SEÑOR;2:30
39;TE LOAMOS OH DIOS;2:15
40;CRISTO LA ROCA;2:33
41;EN LA CRUZ;3:04
42;QUE HAGA EN TI SU VOLUNTAD;2:14
43;EL MUNDO PERDIDO;3:02
44;OH YO QUIERO ANDAR CON CRISTO;2:32
45;GLORIA AL CORDERO;1:59
46;PUEDO ENTONCES CONOCERLE;2:57
47;TE QUIERO MI SEÑOR;2:12
48;NADA HAY QUE ME PUEDA APARTAR;2:44
49;CON CRISTO YO IRÈ;5:04
50;DIOS OS GUARDE;3:06
51;VOLUNTARIOS DE JESÚS;5:02
52;A SOLAS CON JESÚS;3:01
53;!SALUD! !SALUD!;3:06
54;DE MI TIERNO SALVADOR;3:06
55;LIBRE ESTOY;2:33
56;PRECIOSO ES JESÚS;3:35
57;DÍA FELIZ;3:08
58;JAMÁS SE DICE ADIOS ALLÁ;2:27
59;DILO A CRISTO;2:45
60;TUYO SOY JESÚS;2:53
61;EL CONSOLADOR A VENIDO;3:36
62;CUANDO DIOS LA SANGRE VE;2:56
63;A TI Y AMÍ;2:20
64;PUEDO OIR TU VOZ LLAMANDO;2:51
65;!OH VEN SIN TARDAR!;2:53
66;¿SOY YO SOLDADO DE JESÚS?;3:18
67;!OJALA FUERA HOY!;4:03
68;CERCA MAS CERCA;3:43
69;!OH EXCELSA GRACIA DEL AMOR!;2:32
70;YO ANDO CON CRISTO;2:39
71;BRILLA EN TU LUGAR;2:26
72;LA GLORIOSA APARICIÓN;2:27
73;MAS CUAL JESÚS;3:27
74;!SANTO!!SANTO!!SANTO!;3:44
75;CUANDO ÉL VINO A MI CORAZÓN;2:37
76;GUIAME !OH SALVADOR!;2:16
77;CUANDO ANDEMOS CON DIOS;2:43
78;MI CULPA ÉL LLEVÓ;2:44
79;LA SENDA ESTRECHA;2:17
80;HUBO QUIÉN POR MIS CULPAS;2:51
81;EL NOMBRE DE JESÚS;2:39
82;HE CONSAGRADO A MI JESÚS;2:06
83;LAS PISADAS DEL MAESTRO;3:13
84;UN DÍA CRISTO VOLVERA;2:54
